"Stock.ID","Stock","Ocean.Region2","lat","lon","na_count","n_years","yr_start","yr_end","ocean_region_lab"
200,"Hecate Lowlands-Even","WC",52.45,-129.1,0,33,1954,2018,"West Coast"
201,"Hecate Strait-Fjords-Even","WC",52.45,-129.1,0,33,1954,2018,"West Coast"
204,"N Haida Gwaii-Even","SEAK",54.09,-132.14,0,30,1954,2018,"Southeast Alaska"
161,"S Southeast Alaska-Even","SEAK",55.71556,-131.8714,0,31,1960,2020,"Southeast Alaska"
163,"N Southeast Alaska Outside-Even","SEAK",57.17694,-135.7869,0,31,1960,2020,"Southeast Alaska"
165,"N Southeast Alaska Inside-Even","SEAK",57.57528,-134.7503,0,31,1960,2020,"Southeast Alaska"
194,"Auke Creek-Even","SEAK",58.376,-134.65,0,20,1978,2016,"Southeast Alaska"
171,"Prince William Sound-Even","GOA",60.5,-147,0,29,1960,2016,"Gulf of Alaska"
179,"Kodiak-Even","GOA",58.03333,-154.6644,0,22,1978,2020,"Gulf of Alaska"
181,"Chignik-Even","GOA",56.38528,-158.2261,0,20,1980,2020,"Gulf of Alaska"
183,"S AKPen-Even","GOA",55,-161,0,30,1962,2020,"Gulf of Alaska"
185,"NW AK Peninsula-Even","BS",54.982,-163.37,0,30,1962,2020,"Bering Sea"
196,"Kwiniuk-Even","BS",64.68,-162.01,0,24,1966,2020,"Bering Sea"
