"","Year","pink_numbers_np","pink_numbers_np_hatch","pink_numbers_na","all_spp_biomass_np","all_spp_numbers_np","all_spp_numbers_np_bs","all_spp_numbers_np_goa","all_spp_numbers_np_wc","all_spp_biomass_np_bs","all_spp_biomass_np_goa","all_spp_biomass_np_wc","all_spp_numbers_na_bs","all_spp_numbers_na_goa","all_spp_numbers_na_wc","all_numbers_np_hatch","value","species","metric","area"
"1",1952,198.0298015,0.220118117,55.7887957,639.2403906,294.5512895,269.8945008,288.2657912,286.9393128,578.366494,622.9057212,618.0574103,93.03188791,111.4031783,110.0766999,3.108960507,NA,NA,NA,NA
"2",1953,336.5290869,0.895053873,54.92696433,851.5396894,426.2722764,413.5324882,420.9906366,410.1427749,820.0720547,837.813834,809.1607586,99.86748712,107.3256355,96.4777738,4.093434758,NA,NA,NA,NA
"3",1954,179.7949782,0.76781499,58.93153003,685.5552437,294.1033925,283.5696169,288.585562,273.2072046,659.5389824,671.215579,619.2388714,112.889891,117.9058361,102.5274787,6.207193653,NA,NA,NA,NA
"4",1955,294.413004,1.389707901,65.87384667,854.3078117,407.5930893,397.3452982,402.8457727,397.6653176,828.9865489,841.9705485,827.8589481,96.10764159,101.6081161,96.42766095,6.028384716,NA,NA,NA,NA
"5",1956,260.8135208,1.770324503,62.68008382,854.3485051,397.3562074,370.2596204,391.4145717,386.7447353,787.3838197,838.9074611,823.8637729,100.4199931,121.5749443,116.905108,5.184183593,NA,NA,NA,NA
"6",1957,362.0339953,3.093180379,43.21861244,934.985768,477.2576351,457.0936325,472.9655274,467.2311552,885.1940941,923.8314957,911.3636037,81.99504153,97.86693641,92.13256419,9.305770531,NA,NA,NA,NA
"7",1958,187.0299165,3.127378041,55.9146137,685.8931907,307.938449,300.1989392,304.3978566,282.508187,666.765656,676.691946,615.2818063,106.8538761,111.0527935,89.16312395,12.08210012,NA,NA,NA,NA
"8",1959,240.0020938,3.210966595,39.70973584,717.6680243,349.6566047,334.6488922,345.6893387,334.9857898,680.5833271,707.357946,681.0957742,76.97466912,88.01511555,77.31156673,8.019842189,NA,NA,NA,NA
"9",1960,125.0629748,3.803195186,43.09971618,594.7197892,262.6451791,220.8160126,257.5696898,251.3334197,503.2882387,582.0753644,566.6942539,79.64237987,116.3960571,110.1597869,8.401614797,NA,NA,NA,NA
"10",1961,182.1236784,1.105099008,55.78863628,680.0096796,295.2393375,269.5443657,290.0167569,280.8678255,611.2205036,665.7834471,641.5006756,92.22335784,112.6957491,103.5468176,7.411691071,NA,NA,NA,NA
"11",1962,162.859114,4.628723885,102.5817348,598.3259104,265.4176175,252.519804,259.2816037,253.269256,565.5654641,582.4306597,565.59723,141.214215,147.9760146,141.9636669,12.10702527,NA,NA,NA,NA
"12",1963,224.2375817,2.094751871,81.14924257,649.1755178,318.1910517,309.1677332,313.3353904,304.9514565,627.880447,636.5647323,615.2986691,115.8856501,120.0533072,111.6693734,10.3849026,NA,NA,NA,NA
"13",1964,146.2015324,3.478670478,88.87126096,552.9730981,245.6432706,232.9503721,240.1684809,234.1636294,522.9640756,538.7875831,521.0303088,128.837301,136.0554098,130.0505583,13.78997996,NA,NA,NA,NA
"14",1965,205.1036429,2.937142818,57.6174385,688.5302236,344.5413654,282.8642649,338.3072611,335.4221841,562.617292,671.8867285,666.1654588,86.25657646,141.6995727,138.8144957,14.19002007,NA,NA,NA,NA
"15",1966,161.1151013,6.434771443,89.33447343,642.7667318,275.723802,254.6185825,268.5588593,263.5781048,584.3319086,622.7863004,606.9102522,129.5115789,143.4518558,138.4711013,17.60816675,NA,NA,NA,NA
"16",1967,175.2447665,5.442785131,23.85496897,599.3428629,272.9159333,260.2454718,267.4125096,258.1234458,563.2170124,583.8606228,561.3835479,59.8094559,66.97649369,57.68742983,17.91992626,NA,NA,NA,NA
"17",1968,172.0482063,11.85658525,106.2807914,569.6574247,270.0579143,259.5906758,263.2122888,250.5248054,543.5085229,549.7754323,513.4861898,155.6875479,159.309161,146.6216775,20.77999552,NA,NA,NA,NA
